Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
hordur birkirsson,73.2,470.0,74,IPF,2024-10-05,world classic & equipped masters powerlifting championships
horst echtner,72.5,555.0,74,IPF,2014-09-21,world masters powerlifting championships
hsin-wei huang,72.75,665.0,74,IPF,2011-11-08,world powerlifting championships
hsueh-liang hung,78.65,665.0,83,IPF,2018-09-03,world juniors & sub-juniors championships
hubert dudziak,118.74,765.0,120,IPF,2013-08-27,world juniors & sub-juniors championships
hubert kończak,73.65,700.0,74,IPF,2021-11-08,world powerlifting championships
hubert wagner,82.8,815.0,83,IPF,2013-11-04,world powerlifting championships
hubert zaręba,65.22,592.5,66,EPF,2022-05-03,european powerlifting championships
hugo duarte,103.75,870.0,105,IPF,2024-11-11,world open equipped powerlifting championships
hugo duarte,92.6,837.5,93,EPF,2022-05-03,european powerlifting championships
hugo velásquez,124.3,560.0,120+,IPF,2013-09-24,world masters powerlifting championships
hugues reveiller,80.55,527.5,83,EPF,2016-07-12,european masters powerlifting championships
hung-yen lin,65.75,665.0,66,IPF,2019-08-26,world juniors & sub-juniors championships
hung-yuan peng,65.45,577.5,66,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
hunter pooser,115.06,732.5,120,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
hussein mohan,81.25,672.5,83,IPF,2021-08-23,world juniors sub-juniors & masters championships
håkan dahlin,111.71,810.0,120,EPF,2015-07-14,european masters powerlifting championships
håkan persson,104.24,825.0,105,IPF,2014-09-21,world masters powerlifting championships
héctor sánchez,65.56,632.5,66,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
ian bell,104.25,1047.5,105,IPF,2024-11-11,world open equipped powerlifting championships
ian bell,92.67,958.5,93,IPF,2017-07-24,world games
ian ryan,117.56,752.5,120,EPF,2019-07-03,european masters championships
ibrahim efe tokyay halil,56.4,415.0,59,IPF,2022-08-27,world junior equipped powerlifting championships
ievhen halitsyn,73.45,692.5,74,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
ignas karaliūnas,73.3,525.0,74,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
igor ashikhmin,58.6,380.0,59,EPF,2013-07-09,european masters powerlifting championships
