Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
margus silbaum,108.62,840.0,120,EPF,2023-02-28,european masters classic powerlifting championships
mario magro,65.8,600.0,66,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
mario montaño camacho,92.32,760.0,93,IPF,2023-08-27,world junior and sub-junior classic championships
marios liatsis,64.8,617.5,66,IPF,2024-06-15,world classic powerlifting championships
mariusz grotkowski,65.44,600.0,66,IPF,2017-06-14,world classic powerlifting championships
mark macqueen,119.48,847.5,120,IPF,2017-06-14,world classic powerlifting championships
mark tobias,65.8,635.0,66,IPF,2019-06-04,world classic powerlifting championships
martin brester,103.96,792.5,105,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
martin hladík,82.7,742.5,83,IPF,2024-06-15,world classic powerlifting championships
mateusz grzesik,104.3,792.5,105,EPF,2016-03-05,european classic powerlifting championships
mateusz grzesik,119.5,890.0,120,EPF,2022-11-25,european classic powerlifting championships
matheus garcia costa,119.1,840.0,120,IPF,2024-06-15,world classic powerlifting championships
mats høylo kjøllesdal,115.94,830.0,120,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
matt silvey,92.52,762.5,93,IPF,2023-08-27,world junior and sub-junior classic championships
matt sohmer,119.5,858.0,120,IPF,2016-06-19,world classic powerlifting championships
matteo marzolla,103.0,810.0,105,IPF,2023-08-27,world junior and sub-junior classic championships
matteo moretto,82.1,745.0,83,IPF,2021-09-23,world classic powerlifting championships
matteo morri,73.85,702.5,74,EPF,2024-09-13,western european powerlifting championships
matthew henry #1,92.7,775.0,93,IPF,2024-06-15,world classic powerlifting championships
matthew lewis vena,92.48,772.5,93,IPF,2021-09-23,world classic powerlifting championships
matthew pond,82.75,742.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
mattia perazzuolo,103.15,832.5,105,EPF,2019-11-29,european classic powerlifting championships
max mansell-rowe,82.24,732.5,83,IPF,2023-08-27,world junior and sub-junior classic championships
maximilian eisinger,82.45,740.0,83,IPF,2023-06-11,world classic powerlifting championships
maximilian heidenreich,117.06,890.5,120,EPF,2023-12-04,european open classic powerlifting championships
maxwell gyamfi,92.7,857.5,93,IPF,2024-06-15,world classic powerlifting championships
maxym potyomkin,116.9,877.5,120,IPF,2016-06-19,world classic powerlifting championships
mehdi tahmasebi boldaji,92.8,825.0,93,IPF,2023-06-11,world classic powerlifting championships
mehmet kaya,119.2,860.5,120,EPF,2018-11-24,european classic powerlifting championships
melvin conteh,100.23,815.0,105,EPF,2022-11-25,european classic powerlifting championships
michael davis #1,104.8,912.5,105,IPF,2023-03-25,sheffield powerlifting championships
michael leitner,116.14,825.0,120,EPF,2023-12-04,european open classic powerlifting championships
michael rand,104.2,820.0,105,IPF,2024-06-15,world classic powerlifting championships
michael tuchscherer,119.0,915.0,120,IPF,2014-06-01,world classic powerlifting championships
michał pacwa,91.88,762.5,93,EPF,2022-11-25,european classic powerlifting championships
micheal seay,73.55,732.5,74,IPF,2019-06-04,world classic powerlifting championships
mickael cloutier,118.23,845.0,120,IPF,2017-06-14,world classic powerlifting championships
mikael gullander,103.68,795.0,105,EPF,2017-03-12,european classic powerlifting championships
mikalai haravoi,103.2,832.5,105,EPF,2019-11-29,european classic powerlifting championships
mikalai haravoi,92.75,790.0,93,EPF,2018-11-24,european classic powerlifting championships
mikhail andryukhin,65.9,642.5,66,IPF,2014-06-01,world classic powerlifting championships
mikko muttonen,92.9,772.5,93,EPF,2022-11-25,european classic powerlifting championships
miklós fekete,92.65,767.5,93,EPF,2021-07-07,european masters powerlifting championships
mirko artosi,92.84,777.5,93,EPF,2024-03-12,european open classic powerlifting championships
mitchell fountain,102.95,832.5,105,IPF,2017-06-14,world classic powerlifting championships
mohamed bouafia,119.7,945.0,120,IPF,2014-06-01,world classic powerlifting championships
mohamed lakehal,59.0,570.0,59,IPF,2016-06-19,world classic powerlifting championships
mohamed sahad,104.4,797.5,105,IPF,2019-06-04,world classic powerlifting championships
mohamed sahad,119.25,925.0,120,IPF,2023-06-11,world classic powerlifting championships
mohammad morad niay shirjouposht,119.7,842.5,120,IPF,2023-06-11,world classic powerlifting championships
